Doctor Who season,doctor actor,ep. no,episode title,from ,to,estimated?,planet,sub location,location,notes,source,,,,,,,
4,Baker,80,Terror of the Zygons,25/08/1975,1975,,Earth,Scotland,Loch Ness,"Ep watched on http://www.doctorwho-episodes.com/doctor-who-terror-of-the-zygons/394.html, dating based on the first 30 seconds of their tape. 1975 based on airdate; Aug 25 based on promo clip at the beginning of the ep.",,,,,,,,
4,Baker,81,Planet of Evil,37166,37166,,Planet Zeta Minor,n/a,,"though not Earth calendar. Based on grave marker shown in first minutes of film.  Also, stated as being 30,000 years after 1975 at approx 7:00 into first episode.",,,,,,,,
4,Baker,82,Pyramids of Mars,1911,1911,,Earth,England,"The site of UNIT HQ, years before it was built.  Currently, a priory.","Brief visits to 1987 (alternate earth) and Mars. Year stated in episode 1, at approximately the 18:00 mark.",,"Soutek is sent to ""a thousand years beyond the 20th century,"" but the TARDIS doesn't go there.  Does that count?","no, only TARDIS journeys - DM",,,,,
4,Baker,83,The Android Invasion,1980,1980,,Planet: Oseidon; also village of Devesham,England,,,"Doctor Who wikia, tardis.wikia.com/wiki/The_Android_invasion",,,,,,,
season 14,,,,,,,,,,,,,,,,,,
4,Baker,86,The Masque of Mandragora,1492,1492,,Earth,Italy,San Martino,,Doctor Who Wikia,,,,,,,
4,Baker,87,The Hand of Fear,1980,1980,y,Earth,England,Planet: Kastria; ,,Doctor Who Wikia,,,,,,,
4,Baker,91,The Talons of Weng-Chiang,1889,1889,,Earth,England,London,,Doctor Who Wikia,,,,,,,
season 15,,,,,,,,,,,,,,,,,,
4,Baker,92,Horror of Fang Rock,1900,1900,,Earth,England,Fang Rock,,Doctor Who Wikia,,,,,,,
4,Baker,93,The Invisible Enemy,5000,5000,,space,N/A,Asteroid K4067; inside the Doctor's Body; Titan,,Doctor Who Wikia,,,,,,,
4,Baker,94,Image of the Fendahl,1977,1977,,Earth,England,Fetch Priory,,Doctor Who Wikia,,,,,,,
season 16,,,,,,,,,,,,,,,,,,
season 17,,,,,,,,,,,,,,,,,,
4,Baker,105,City of Death,-4000000000000,1979,,Earth,France; Italy,Paris; Italy,Wikia notes multiple jumps -- 1979; 1505; 1979; 4 billion BC; 1979,Doctor Who Wikia,,,,,,,
4,Baker,107,Nightmare of Eden,2116,2116,,space,N/A,Spacecraft: Empress; Spacecraft: Hecate,,Doctor Who Wikia,,,,,,,
4,Baker,unaired,Shada,1979,1979,,Earth,England,Cambridge,,Doctor Who Wikia,,,,,,,
season 18,,,,,,,,,,,,,,,,,,
season 19,,,,,,,,,,,,,,,,,,
5,Davison,116,Castrovalva,-13700000000,1981,,????,,City of Castrovalva,,,,,,,,,
5,Davison,118,Kinda,2083,2583,,Planet Deva Loka,,,,,,,,,,,
5,Davison,119,The Visitation,1666,1666,,Earth,England,London,,,,,,,,,
5,Davison,120,Black Orchid,1925,1925,,Earth,England,Cranleigh Halt,,,,,,,,,
5,Davison,121,Earthshock,2486,2526,,Earth,,,,,,,,,,,
5,Davison,122,Time-Flight,-140000000,1982,,Earth,England,Heathrow,,,,,,,,,
season 20,,,,,,,,,,,,,,,,,,
5,Davison,123,Arc of Infinity,1978,1983,,"Gallifrey, Earth",,,,,,,,,,,
5,Davison,124,Snakedance,1783,2583,,Planet Manussa,,,,,,,,,,,
5,Davison,125,Mawdryn Undead,-1017,1983,,earth,England,"Brendon, London",,,,,,,,,
5,Davison,126,Terminus,-13700000000,2683,,earth,,Terminus Station,,,,,,,,,
5,Davison,127,Enlightenment,1983,1983,,The Solar System,,,,,,,,,,,
5,Davison,128,The King's Demons,1214,1982,,earth,,England,,,,,,,,,
5,Davison,129,The Five Doctors,1966,1983,,"Death Zone, Gallifrey",,,Gallifrey time? - ms,,,,,,,,
season 21,,,,,,,,,,,,,,,,,,
5,Davison,130,Warriors of the Deep,2084,2084,,earth,,,,,,,,,,,
5,Davison,131,The Awakening,1643,1983,,earth,England,Little Hodcombe,,,,,,,,,
5,Davison,132,Frontios,10000000,10000000,,Planet Frontios,,,,,,,,,,,
5,Davison,133,Resurrection of the Daleks,1984,1984,,earth,England,London,,,,,,,,,
5,Davison,134,Planet of Fire,1966,1984,,Planet Sarn,,,,,,,,,,,
5,Davison,135,The Caves of Androzani,-1000000000,2784,,Planet Androzani Minor,,,,,,,,,,,
6,Colin Baker,136,The Twin Dilemma,2299,2300,,space,Asteroid Titan 3,,,,,,,,,,
season 22,,,,,,,,,,,,,,,,,,
6,Colin Baker,137,Attack of the Cybermen,1985,2530,,earth,England,London,,,,,,,,,
6,Colin Baker,138,Vengeance on Varos,2083,2284,,Planet Varos,,,,,,,,,,,
6,Colin Baker,139,The Mark of the Rani,1822,1822,,earth,England,Killingworth,,,,,,,,,
6,Colin Baker,140,The Two Doctors,1985,1985,,space,Chimera Station,,,,,,,,,,
6,Colin Baker,141,Timelash,1885,1885,,earth,England,Scotland,,,,,,,,,
6,Colin Baker,142,Revelation of the Daleks,4570,4660,,Planet Necros,,,,,,,,,,,
season 23,,,,,,,,,,,,,,,,,,
6,Colin Baker,143,The Trial of a Timelord,-10000000,2000000,,Planet Gallifrey,,,,,,,,,,,
season 24,,,,,,,,,,,,,,,,,,
7,McCoy,144,Time and the Rani ,-13700000000,1987,,,,The Rani's Lab,,,,,,,,,
7,McCoy,145,Paradise Towers ,2110,2110,,Earth,,,,,,,,,,,
7,McCoy,146,Delta and the Bannermen ,1928,4687,,Earth,England,South Wales,,,,,,,,,
7,McCoy,147,Dragonfire ,1970,2000000,,Planet Svartos,,,,,,,,,,,
